ADDRESS	PROTOCOL	SOURCE
http://www.wareztorrent.com:80/announce	HTTP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
udp://tracker.eddie4.nl:6969/announce	UDP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
http://tracker2.wasabii.com.tw:6969/announce	HTTP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
udp://tracker.sktorrent.net:6969/announce	UDP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
udp://bt.xxx-tracker.com:2710/announce	UDP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
udp://tracker.opentrackr.org:1337/announce	UDP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
udp://tracker.mg64.net:2710/announce	UDP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
udp://wambo.club:1337/announce	UDP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
udp://tracker.grepler.com:6969/announce	UDP	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
https://open.kickasstracker.com:443/announce	HTTPS	https://paste.is/p/v/e34794ae-1661-44b3-8225-d061da156797#WG8zMzZpRUVzbkNPdGl5N2docG9kdGg3T2RkMWtDZ1YxcFlHV1U5S1EwMkRNcmZjd0F2c09DQlN0c2wxQUQ5MA==
