NAME	PROVIDER	URL	TYPE	Filter Type	COMMENT	WEBSITE
DROP	Spamhaus	https://www.spamhaus.org/drop/drop.txt	Security Blocklist	IPv4 Blocks	Illegitimate Networks (IP Adress Blocks)	https://www.spamhaus.org/drop/
EDROP	Spamhaus	https://www.spamhaus.org/drop/edrop.txt	Security Blocklist	IPv4 Blocks	Cybercriminal-Controlled Networks (IP Adress Blocks)	https://www.spamhaus.org/drop/
DROPv6	Spamhaus	https://www.spamhaus.org/drop/dropv6.txt	Security Blocklist	IPv6 Blocks	IPv6 Version of Spamhaus‘ EDROP (IPv6 Blocks)	https://www.spamhaus.org/drop/
ASN-DROP	Spamhaus	https://www.spamhaus.org/drop/asndrop.txt	Security Blocklist	ASN Numbers	AS List of the EDROP (ASNs)	https://www.spamhaus.org/drop/
OISD-BASIC	OISD	https://dbl.oisd.nl/basic/	Adblocking Blocklist	Domains	Filters the most notorious Ad-Servers (domains)	https://oisd.nl/downloadsXtra
OISD-FULL	OISD	https://dbl.oisd.nl/	Adblocking Blocklist	Domains	Basically all Ad-Servers	https://oisd.nl/downloadsXtra
OISD-NSFW	OISD	https://dbl.oisd.nl/nsfw/	Adblocking Blocklist	Domains	Ad-Servers for/from NSFW sites	https://oisd.nl/downloadsXtra
lists.d ASN-DROP	Greyhat Academy	https://raw.githubusercontent.com/greyhat-academy/lists.d/main/drop.asn.block.list.tsv	Advanced Blocklist	ASNs	Rogue ISPs	https://github.com/greyhat-academy/lists.d
lists.d IPv4-DROP	Greyhat Academy	https://raw.githubusercontent.com/greyhat-academy/lists.d/main/drop.ipv4.block.list.tsv	Advanced Blocklist	IPv4 Blocks	Rogue ISPs	https://github.com/greyhat-academy/lists.d
lists.d IPv6-DROP	Greyhat Academy	https://raw.githubusercontent.com/greyhat-academy/lists.d/main/drop.ipv6.block.list.tsv	Advanced Blocklist	IPv6 Blocks	Rogue ISPs	https://github.com/greyhat-academy/lists.d
lists.d MilIntel-IPv4	Greyhat Academy	https://raw.githubusercontent.com/greyhat-academy/lists.d/main/milintel.ipv4.block.list.tsv	Advanced Blocklist	IPv4 Blocks	Military and Intelligence Networks	https://github.com/greyhat-academy/lists.d
lists.d Gambling	Greyhat Academy	https://raw.githubusercontent.com/greyhat-academy/lists.d/main/gambling.domains.block.list.tsv	Supportive Blocklist	Domains	Gambling Sites	https://github.com/greyhat-academy/lists.d
lists.d ActivityPub	Greyhat Academy	https://raw.githubusercontent.com/greyhat-academy/lists.d/main/activitypub.domains.block.list.tsv	Application - Specific	Domains	Toxic ActivityPub Instances	https://github.com/greyhat-academy/lists.d
Tor Exit Node List	Tor Project	https://check.torproject.org/torbulkexitlist	Server List	IPv4 Adresses	Lists all Tor Exit Nodes	https://gitweb.torproject.org/tor.git/plain/contrib/operator-tools/tor-exit-notice.html
Ad Servers	AdAway	https://adaway.org/hosts.txt	Adblocking Blocklist	HOSTS File	Blackholes domains to localhost	https://adaway.org/
