NAME	PROVIDER	LOCATION	NETWORK	SPEED	PHONE#	USERNAME	PASSWORD	SOURCE	NOTES
Direct Internet	Iridium	Global (USA)	Iridium	2.400 bit/s	+8816000026	iridium	iridium	https://youtu.be/UWkjuDI9RSo?t=82	VERY EXPENSIVE "Standard Air Rates" Apply
Bielefeld	arcor	Germany	DIALUP	33.600 bit/s	+495217856652	arcor	internet	https://www.teltarif.de/internet/by-call/einwahlnummern.html	Local/Regional Dialup Line
Frankfurt	arcor	Germany	DIALUP	33.600 bit/s	+496926012601	arcor	internet	https://www.teltarif.de/internet/by-call/einwahlnummern.html	Local/Regional Dialup Line
Göttingen	arcor	Germany	DIALUP	33.600 bit/s	+495513819999	arcor	internet	https://www.teltarif.de/internet/by-call/einwahlnummern.html	Local/Regional Dialup Line
Hamburg	arcor	Germany	DIALUP	33.600 bit/s	+494024189947	arcor	internet	https://www.teltarif.de/internet/by-call/einwahlnummern.html	Local/Regional Dialup Line
Kiel	arcor	Germany	DIALUP	33.600 bit/s	+494312478699	arcor	internet	https://www.teltarif.de/internet/by-call/einwahlnummern.html	Local/Regional Dialup Line
Stuttgart	arcor	Germany	DIALUP	33.600 bit/s	+4971126201000	arcor	internet	https://www.teltarif.de/internet/by-call/einwahlnummern.html	Local/Regional Dialup Line
Wuppertal	arcor	Germany	DIALUP	33.600 bit/s	+492025145953	arcor	internet	https://www.teltarif.de/internet/by-call/einwahlnummern.html	Local/Regional Dialup Line


