IMEI	TYPE	MANUFACTURER	MODEL	SOURCE
357943035089390	WWAN-MODEM	Huawei	E160	https://www.ebay.de/itm/114743211215
864172045479278	WWAN-MODEM	Huawei	ME909s-120	https://www.ebay.de/itm/401544571863
867377028121774	WWAN-MODEM	Huawei	ME909s-120	https://www.ebay.de/itm/133147749807
867377021080654	WWAN-MODEM	Huawei	ME909s-120	https://www.ebay.de/itm/224238363553
867377024230587	WWAN-MODEM	Huawei	ME909s-120	https://www.ebay.de/itm/324423058011
867377024232500	WWAN-MODEM	Huawei	ME909s-120	https://www.ebay.de/itm/324423058011
867377024231478	WWAN-MODEM	Huawei	ME909s-120	https://www.ebay.de/itm/324423058011
867377020318808	WWAN-MODEM	Huawei	ME909s-120	https://www.ebay.de/itm/184655427190
867377020457937	WWAN-MODEM	Huawei	ME909s-120	https://www.ebay.de/itm/254407050143
867160023375037	WWAN-MODEM	Huawei	ME906s-158	https://www.ebay.de/itm/224311289871
356581070046130	WWAN-MODEM	Huawei	ME906s-158	https://www.ebay.de/itm/163799706144
863212030054826	WWAN-MODEM	Fibocom	L850-GL	https://www.ebay.de/itm/274646058252
015550005763393	WWAN-MODEM	Fibocom	L850-GL	https://www.ebay.de/itm/402562138788
015184001831242	WWAN-MODEM	Fibocom	L850-GL	https://www.ebay.de/itm/133485833900
867603020000207	WWAN-MODEM	Fibocom	L850-GL	https://www.ebay.de/itm/353411699483
015184008649688	WWAN-MODEM	Fibocom	L850-GL	https://www.ebay.de/itm/333786927321
355856028196091	WWAN-MODEM	Huawei	E106E	https://www.ebay.de/itm/264766706313
358108025961243	WWAN-MODEM	Huawei	E172	https://www.ebay.de/itm/271806913225
869887030131098	PHONE	Inrico	TM-7Plus	https://www.amazon.de/dp/B08354JTH3
869887030131106	PHONE	Inrico	TM-7Plus	https://www.amazon.de/dp/B08354JTH3
350390011590776	HANDHELD	Gizmondo	GZ-1 Smart Adds	https://youtu.be/dv6UaHZxUys?t=28
359079072468135	WWAN-ROUTER	Netgear	LB2110	https://www.amazon.de/dp/B07915QQBX
356450050132197	WWAN-MODEM	Sierra Wireless	EM7355	https://www.amazon.de/gp/product/B07G73J88D
012810000392298	WWAN-MODEM	Sierra Wireless	MC7700	https://www.amazon.de/gp/product/B07WPYPZMF
013937003271275	WWAN-MODEM	Sierra Wireless	EM7345	https://www.amazon.de/dp/B078W3LXKL
356195050441698	WWAN-MODEM	Sierra Wireless	MC7355	https://www.amazon.de/dp/B00XLAWR3E
352375017184342	WWAN-MODEM	Option	GTM378	https://www.ebay.de/itm/332175570405
355201007538783	WWAN-MODEM	O2	Surf@Home II	https://en.wikipedia.org/wiki/MAC_address#/media/File:UMTS_Router_Surf@home_II,_o2-0017.jpg
866442043681029	WWAN-MODEM	MUAMA	Ryoko	https://youtu.be/mYly1irRrBE?t=724
354480080368455	WWAN-MODEM	Sierra Wireless	EM7455	https://www.amazon.de/dp/B07PG1KV67
860461020018696	WWAN-MODEM	Huawei	ME909u-521	https://www.amazon.de/dp/B00NPX09QY
356581070017750	WWAN-MODEM	Huawei	ME906s-158	https://www.amazon.de/dp/B09NCYF9Y7
356581071940554	WWAN-MODEM	Huawei	ME906s-158	https://www.amazon.de/dp/B08JPNVMPG
359337050342701	WWAN-MODEM	Telit	LN930-AP	https://www.amazon.de/dp/B07D6FYWM7
862636050022076	WWAN-MODEM	SIMcom	SIM7600G	https://www.amazon.de/dp/B091PXGBXY
355606052083057	WWAN-MODEM	Sierra Wireless	EM8805	https://www.amazon.de/dp/B07WRQK3GB
865234030176928	WWAN-MODEM	SIMcom	SIM7000E	https://www.amazon.de/dp/B07DL9GFM1
869035030416347	WWAN-ROUTER	-unknown-	-unknown-	https://www.amazon.de/dp/B0921TNNVG
869035030247650	WWAN-ROUTER	-unknown-	-unknown-	https://www.amazon.de/dp/B0921TNNVG
359235100003952	WWAN-MODEM	Dell	DW5821e-eSIM	https://de.aliexpress.com/item/1005003091356700.html
352280110013838	WWAN-MODEM	Dell	DW5930e-eSIM	https://de.aliexpress.com/item/1005003821626657.html
355298100001669	WWAN-MODEM	Sierra Wireless	WP7607	https://www.amazon.de/dp/B085Y6T792
354324070030578	WWAN-MODEM	Sierra Wireless	EM7455	https://www.amazon.de/dp/B0783N98MR
355569041125217	WWAN-MODEM	Sierra Wireless	MC8355	https://www.amazon.de/dp/B0759ZM93T
357409038018182	PHONE	Simvalley	PW-315.touch	https://derstandard.at/1360161329508/PW-315touch-im-Test-Eine-Handy-Uhr-als-Smartwatch-Alternative
345231234541122	WWAN-MODEM	Quectel	EC20	https://www.mhzshop.com/shop/3G-4G-5G/Carte-3G-4G-LoRa/Carte-Mini-PCIe-4G-LTE-Quectel-4G-LTE-Express-EC20-E.html
349324080068712	WWAN-MODEM	Fibocom	L850-GL	https://www.amazon.de/dp/B07YB7ZVKT
012810001240629	WWAN-MODEM	Sierra Wireless	MC7700	https://www.amazon.de/dp/B08JTGSFBV
012810000240240	WWAN-MODEM	Sierra Wireless	MC7700	https://www.amazon.de/dp/B08D9HT1K4
012810000121358	WWAN-MODEM	Sierra Wireless	MC7700	https://www.ebay.de/itm/284817744854
868368040002066	WWAN-MODEM	Huawei	Me909s-120p V2	https://www.ebay.de/itm/154848198990
