MAC	MANUFACTURER	MODEL	TYPE 	OWNER	DESCRIPTION	SOURCE
001DD823904E	Microsoft	XBOX 360	Console	ILii4M	RGH‘d Xbox 360	https://youtu.be/Vv69hLe1D8w?t=57
AC49DB37018D	Apple	iPhone 13 Pro	Smartphone	Hugh Jeffreys	Bought for Repairability Testing	https://youtu.be/8s7NmMl_-yg?t=92
AC49DB313634	Apple	iPhone 13 Pro	Smartphone	Hugh Jeffreys	Bought for Repairability Testing	https://youtu.be/8s7NmMl_-yg?t=92
F465A68BC5F5	Apple	iPhone 13 Pro	Smartphone	Hugh Jeffreys	Bought for Repairability Testing	https://youtu.be/8s7NmMl_-yg?t=92
F465A68A6338	Apple	iPhone 13 Pro	Smartphone	Hugh Jeffreys	Bought for Repairability Testing	https://youtu.be/8s7NmMl_-yg?t=92
00014AB3558A	Sony	PSP	Mobile Game Console	MVG	U.S. PSP Version 1.50	https://youtu.be/qIxKPu20R58?t=253
00D0F1034C6C	Sega	Dreamcast	Console	MVG	Broadband Adaptor	https://youtu.be/rj56VU_VmWg?t=522
239A380779DC	HP	ProBook	Laptop	Dept. Of Corrections	TV Series	https://youtu.be/6JhQEvLftOI?t=181
93BE85933D43	HP	ProBook	Laptop	Dept. Of Corrections	TV Series	https://youtu.be/6JhQEvLftOI?t=186
4024D7CEF757	MultiBlue	Dongle	Ext. Adaptor	Elliot	TV Series	https://youtu.be/6JhQEvLftOI?t=173
70480F5FCE3A	Apple	IPhone 6	Smartphone	StangeParts	bricked iPhone board	https://youtu.be/rHP-OPXK2ig?t=399
70480F5FCE3B	Apple	IPhone 6	Smartphone	StangeParts	bricked iPhone board	https://youtu.be/rHP-OPXK2ig?t=399
9CF48E6D1CCE	Apple	IPhone 6	Smartphone	StangeParts	bricked iPhone board	https://youtu.be/rHP-OPXK2ig?t=497
9CF48E6D1CF3	Apple	IPhone 6	Smartphone	StangeParts	bricked iPhone board	https://youtu.be/rHP-OPXK2ig?t=497
A4B8058D85F0	Apple	IPhone 6	Smartphone	StangeParts	bricked iPhone board	https://youtu.be/rHP-OPXK2ig?t=1444
A4B8058D85F1	Apple	IPhone 6	Smartphone	StangeParts	bricked iPhone board	https://youtu.be/rHP-OPXK2ig?t=1444
0025F901121C	Weytec	MK06	KVM-Keyboard	Chyrosran22	Trading Terminal Keyboard	https://youtu.be/1FHkQpYBygE?t=429
DCEF097FCD4F	Netgear	LB2110	WWAN Router	Amazon	LTE Router	https://www.amazon.de/dp/B07915QQBX
00041FB94419	Sony	DTP-T1000 	Console	MVG	PSP Devkit	https://youtu.be/vY1j30jzRsE?t=234
00014A1E4ABC	Sony	DTP-T1000 	Console	MVG	PSP Devkit	https://youtu.be/vY1j30jzRsE?t=459
B827EB3B9658	Raspberry Pi	Model 3B+	SBC	Amazon	Sample Output	https://www.amazon.de/dp/B07QNKCLJM
00224334173E	Atheros	AR9280	WIFI Module	Amazon	Product Image	https://www.amazon.de/gp/product/B08GKHSH49
0050F2102F0C	Microsoft	Xbox	Console	MVG	Xbox Debug Kit	https://youtu.be/jR46e-HU06c?t=289
0050F2102F0D	Microsoft	Xbox	Console	MVG	Xbox Debug Kit	https://youtu.be/jR46e-HU06c?t=293
00098C006963	O2	Surf@Home II	WWAN Router	Raimond Spekking	Wikimedia Commons	https://en.wikipedia.org/wiki/MAC_address#/media/File:UMTS_Router_Surf@home_II,_o2-0017.jpg
0014A541616B	O2	Surf@Home II	WWAN Router	Raimond Spekking	Wikimedia Commons	https://en.wikipedia.org/wiki/MAC_address#/media/File:UMTS_Router_Surf@home_II,_o2-0017.jpg
C05B12278609	MUAMA	Ryoko	WWAN Router	Krazy Ken	Review Device	https://youtu.be/mYly1irRrBE?t=725
00224334173E	Atheros	AR9280	WIFI Module	Amazon	Product Image	https://www.amazon.de/dp/B08N17FWR8
C446196EE3B7	Broadcom	BCM94312HMG2L	WIFI Module	Amazon	Product Image	https://www.amazon.de/dp/B08FBD2LW6
142D27010307	Broadcom	BCM943228HMB	WIFI Module	Amazon	Product Image	https://www.amazon.de/dp/B07D6G79QR
001BEB572ECD	ICOM	SOM304RD52VINE1	SOM	Rasteri	weePC	https://youtu.be/aJEp4ZUG7BI?t=533
000D050ABD80	Cybernet	ZPC-H6	PC	VWestlife1	Keyboard-AiO PC	https://youtu.be/Q4bHqTxT68E?t=401
000502DF1DA9	Apple	Mac Pro G3	PC	ThisDoesNotCompute	Vintage Mac	https://youtu.be/Z3nsjMQZ7FI?t=359
0009BF0145A3	Nintendo	Gamecube	Console	MVG	Broadband Adaptor	https://youtu.be/Uxjl_kD3imQ?t=153
4C8B58E8A561	Lenovo	IdeaPad 100-151by	WIFI Module	eBay	WiFi Module	https://www.ebay.de/itm/274465309594
00063900FE2B	Newtec	NTC/2218.TUS	SAT-Modem	eBay	Bidirectional Satellite Internet Modem	https://www.ebay.de/itm/133835717954
E263DA2C2636	Samsung		Smartphone	Ubiquiti	Sample Output	https://youtu.be/JhI3Lx9t-vY?t=38
4401BB641283	Android		Smartphone	Ubiquiti	Sample Output	https://youtu.be/JhI3Lx9t-vY?t=38
CCFD17B47F7D	Apple		Smartphone	Ubiquiti	Sample Output	https://youtu.be/JhI3Lx9t-vY?t=38
7683C22ACDD6	Ubiquiti	UDM	WWAN Router	Ubiquiti	Sample Output	https://youtu.be/JhI3Lx9t-vY?t=38
003EE1C96E9C	Apple	iPhone X	Smartphone	Ubiquiti	Sample Output	https://youtu.be/JhI3Lx9t-vY?t=42
0026B6F6BD40	Atheros	AR9280	WIFI Module	eBay	Product Image	https://www.ebay.es/itm/264428470186
20689D9CDEB5	Android	AR9280	WIFI Module	eBay	Product Image	https://www.ebay.es/itm/264859111386
0024D71FDE44	Intel	Ultimate-N 6300	WIFI Module	flickr	Photo	https://www.flickr.com/photos/seandreilinger/5199737867/
0C84DC6BA79B	Atheros	AR9462	WIFI Module	Amazon	Product Image	https://www.amazon.de/dp/B07L4S6MQ4
0C84DC6BA79C	Atheros	AR9462	Bluetooth module	Amazon	Product Image	https://www.amazon.de/dp/B07L4S6MQ4
0C84DCAA8EBD	Ralink	RT3290	WIFI Module	Amazon	Product Image	https://www.amazon.de/dp/B07K2ZL4DZ
00063985911E	Newtec	NTC/2299.AA	SAT-Modem	eBay	Product Image	https://www.ebay.de/itm/354108334711
